id,cell_id,chemical_id
1,1,25
2,2,20
3,3,53
4,4,32
5,5,17
6,6,32
7,7,25
8,8,51
9,9,3
10,10,26
11,11,24
12,12,10
13,13,42
14,14,10
15,15,19
16,16,7
17,17,10
18,18,29
19,19,35
20,20,16
21,21,52
22,22,20
23,23,44
24,24,22
25,25,28
26,26,17
27,27,24
28,28,40
29,29,26
30,30,18
31,31,47
32,32,48
33,33,19
34,34,10
35,35,53
36,36,37
37,37,20
38,38,46
39,39,30
40,40,19
41,41,39
42,42,47
43,43,35
44,44,35
45,45,42
46,46,44
47,47,14
48,48,8
49,49,9
50,50,21
51,51,35
52,52,49
53,53,38
54,54,17
55,55,34
56,56,15
57,57,28
58,58,3
59,59,51
60,60,38
61,61,47
62,62,7
63,63,17
64,64,8
65,65,2
66,66,29
67,67,40
68,68,38
69,69,38
70,70,10
71,71,28
72,72,41
73,73,50
74,74,11
75,75,15
76,76,35
77,77,50
78,78,41
79,79,25
80,80,26
81,81,41
82,82,28
83,83,16
84,84,19
85,85,18
86,86,52
87,87,45
88,88,7
89,89,34
90,90,52
91,91,39
92,92,48
93,93,10
94,94,28
95,95,31
96,96,36
97,97,34
98,98,44
99,99,48
100,100,52
101,101,10
102,102,15
103,103,17
104,104,11
105,105,43
106,106,35
107,107,25
108,108,36
109,109,8
110,110,28
111,111,36
112,112,28
113,113,28
114,114,35
115,115,1
116,116,23
117,117,2
118,118,37
119,119,39
120,120,44
121,121,21
122,122,51
123,123,48
124,124,14
125,125,15
126,126,16
127,127,2
128,128,29
129,129,9
130,130,29
131,131,24
132,132,52
133,133,50
134,134,2
135,135,40
136,136,33
137,137,28
138,138,41
139,139,22
140,140,15
141,141,36
142,142,42
143,143,41
144,144,50
145,145,35
146,146,36
147,147,48
148,148,40
149,149,32
150,150,34
151,151,29
152,152,36
153,153,8
154,154,26
155,155,28
156,156,26
157,157,11
158,158,11
159,159,5
160,160,12
161,161,53
162,162,53
163,163,50
164,164,29
165,165,9
166,166,50
167,167,38
168,168,3
169,169,21
170,170,35
171,171,53
172,172,7
173,173,48
174,174,49
175,175,9
176,176,23
177,177,32
178,178,21
179,179,23
180,180,16
181,181,44
182,182,5
183,183,16
184,184,22
185,185,41
186,186,44
187,187,36
188,188,39
189,189,8
190,190,17
191,191,28
192,192,41
193,193,2
194,194,24
195,195,36
196,196,46
197,197,4
198,198,2
199,199,42
200,200,25
201,201,22
202,202,5
203,203,4
204,204,8
205,205,22
206,206,30
207,207,9
208,208,14
209,209,40
210,210,48
211,211,5
212,212,7
213,213,4
214,214,3
215,215,8
216,216,11
217,217,17
218,218,24
219,219,52
220,220,36
