id,serial_number,battery_name,weight,capacity,original_power_capability,expected_endoflife,manufactured_date,height,width,length,manufactured_city,manufactured_street,manufactured_number,manufactured_zipcode,material_id,safety_features_id,manufacturer_id
1,+1,+1,658796.032,3225579850,5837538219,1/22/2025,1/4/2025,1787.53,468.39,7431.94,Xumai,40475 Nova Pass,11661,11,1,1,1
2,+2,+2,207903.241,2723377375,7473061907,10/3/2024,5/13/2024,7272.97,5361.46,8008.81,San Jacinto,042 Sachs Terrace,25815,22,2,2,2
3,+3,+3,132745.136,7254454871,8526129094,7/6/2024,8/12/2024,920.38,6511.22,3835.89,Shimen,4 Ramsey Point,6223,33,3,1,3
4,+4,+4,696155.527,9991029090,2638060970,12/31/2024,9/29/2024,6274.39,6845.79,7554.12,Villefontaine,58034 Buell Point,32433,44,4,2,4
5,+5,+5,305796.387,9585725521,4428306808,8/29/2024,4/3/2024,5365.43,2462.06,9356.24,Kālīganj,6019 Montana Parkway,7006,55,5,3,5
6,+6,+6,44944.016,4114125194,6309655264,5/19/2024,12/14/2024,4228.26,2040.15,4719.41,Gombong,390 Dawn Court,23520,66,6,1,6
7,+7,+7,48625.897,3549409132,5651056331,2/3/2025,12/31/2024,9910.9,8842.72,6964.63,Al Jubayhah,32 Burning Wood Avenue,1321,77,7,3,7
8,+8,+8,539502.92,4478996823,2716658624,4/11/2024,5/21/2024,5479.43,4282.75,1519.98,Taojiahe,1514 Butterfield Street,20971,88,8,3,8
9,+9,+9,220577.02,3228346216,3870636662,11/11/2024,12/29/2024,5395.42,7284.49,4848.92,Vohibinany,5564 Summer Ridge Circle,17362,99,9,3,9
10,+10,+10,383290.575,9608113658,6825481503,10/23/2024,2/22/2024,3483.07,6623.14,706.66,Igreja,3 Village Green Alley,28880,1010,10,1,10
11,+11,+11,755595.855,6966253921,6636000205,5/13/2024,7/1/2024,1917.28,1753.61,7689.29,Gasa,99 Express Pass,7006,1111,11,2,11
12,+12,+12,753720.71,8386824053,1130000960,9/1/2024,7/30/2024,3378.58,3040.68,5444.92,Vito,8 Summit Terrace,21171,1212,12,3,12
13,+13,+13,696575.963,4308441293,2364714854,10/24/2024,6/18/2024,9934.74,9302.97,8568.06,Dzvinogrud,627 International Avenue,5222,1313,13,3,13
14,+14,+14,620160.277,201227253,9437153083,4/7/2024,12/28/2024,5099.67,4185.81,1968.86,Kapan,00842 Buell Road,23838,1414,14,1,14
15,+15,+15,120832.892,472659318,3987235142,1/15/2025,6/21/2024,6947.01,9065.15,5253.14,Xinxiang,361 Kropf Hill,11122,1515,15,2,15
16,+16,+16,959693.995,7759816565,6261619071,7/27/2024,6/1/2024,1892.95,3306.74,818.4,Archis,0 Dryden Road,20214,1616,16,2,16
17,+17,+17,465630.453,8198934202,9851892890,6/5/2024,3/28/2024,8222.27,8199.85,8058.28,Kindu,21 Eggendart Terrace,27806,1717,17,1,17
18,+18,+18,531055.815,5318052357,978238587,9/18/2024,5/7/2024,3879.1,2441.46,2265.54,Izobil’nyy,91914 Rusk Street,18622,1818,18,3,18
19,+19,+19,709923.35,5234441462,5926026025,9/19/2024,7/15/2024,3576.06,8838.33,8584.12,Badajoz,362 Nancy Alley,9490,1919,19,1,19
20,+20,+20,45381.53,4064604235,905233308,12/7/2024,12/21/2024,156.59,7250.5,4876.35,Partesh,84 Sutherland Street,7643,2020,20,3,20
21,+21,+21,168743.737,2618504704,3262381798,4/5/2024,1/10/2025,5312.2,8749.94,513.65,Sanqu,9 Old Gate Alley,22471,2121,21,1,21
22,+22,+22,565701.771,2697453663,5605670115,5/6/2024,11/25/2024,7798.12,2789.43,1000.83,Joaquín Suárez,2 Farragut Avenue,8432,2222,22,2,22
23,+23,+23,783097.193,9322980824,8396659298,7/31/2024,10/6/2024,4429.5,3867.12,9908.79,Mombaça,0 Leroy Trail,15462,2323,23,1,23
24,+24,+24,49494.49,233334902,8588123713,12/20/2024,4/23/2024,3798.13,3986.07,5457.87,Bai’e,07242 Paget Park,16199,2424,24,1,24
25,+25,+25,945288.254,6927824363,6284257161,6/6/2024,10/30/2024,5590.03,5402.08,1684.77,Vawkavysk,0126 Pleasure Court,18139,2525,25,3,25
26,+26,+26,240086.228,15618807,4273039323,8/29/2024,6/8/2024,126.66,7160.58,7862.65,Coxim,9 Meadow Vale Avenue,2245,2626,26,2,26
27,+27,+27,74993.814,349042902,4143413203,7/13/2024,11/28/2024,9787.36,5159.59,4559.46,Lyozna,07 Elgar Parkway,13727,2727,27,2,27
28,+28,+28,195295.704,8249550801,8898370434,6/18/2024,9/21/2024,8814.66,9339.53,6921.98,Huangshan,89 Dottie Parkway,17938,2828,28,3,28
29,+29,+29,408658.517,3771066422,6639782861,11/26/2024,5/1/2024,702.41,6208.04,5178.14,Gaoshibei,76595 Hazelcrest Trail,4772,2929,29,3,29
30,+30,+30,917383.184,143449514,2458123850,3/4/2024,2/11/2024,4611.22,2930.54,5626.64,Villaba,9 Swallow Terrace,10621,3030,30,1,30
31,+31,+31,831464.037,764968992,3999617359,12/27/2024,5/8/2024,606.78,9391.25,2698.5,Santo Amaro,45093 Anthes Crossing,18787,3131,31,1,31
32,+32,+32,772199.639,8012557437,1415887136,11/23/2024,12/12/2024,757.17,775.25,843.0,Xinfeng,3975 Maple Lane,28336,3232,32,3,32
33,+33,+33,973268.688,1286452614,811342250,11/11/2024,10/4/2024,4331.94,9402.08,7179.21,Железный порт,97350 Dapin Way,15947,3333,33,1,33
34,+34,+34,878192.318,3405827563,6328384521,1/15/2025,6/28/2024,4482.95,9594.56,2982.26,Joal-Fadiout,73 Fair Oaks Hill,22947,3434,34,2,34
35,+35,+35,838356.205,8949082998,6526738077,4/14/2024,8/31/2024,6991.45,9029.8,7811.56,Prince Edward,177 Artisan Point,19219,3535,35,1,35
36,+36,+36,804325.522,3425103028,3580054012,3/31/2024,3/5/2024,980.66,1835.18,3307.26,Yangchun,7 Dunning Plaza,21207,3636,36,2,36
37,+37,+37,760147.311,3304486608,1486842517,10/9/2024,9/30/2024,7594.99,8892.6,9345.89,Labruge,97 Myrtle Drive,31688,3737,37,3,37
38,+38,+38,559522.681,1970894612,2430545031,11/8/2024,1/13/2025,6637.78,922.06,3645.94,Tongshanxiang,9503 Everett Junction,2207,3838,38,2,38
39,+39,+39,199014.567,3902696585,9790728081,4/9/2024,8/28/2024,9785.24,7459.89,8565.43,Pilot Butte,3089 Trailsway Hill,9700,3939,39,1,39
40,+40,+40,500916.575,3558400978,7158886151,12/4/2024,11/19/2024,6768.54,2560.77,1402.16,Goris,39 Schmedeman Alley,10922,4040,40,2,40
41,+41,+41,517547.16,8653605918,4625095247,3/2/2024,1/28/2025,9139.99,3756.48,1850.88,Tangkeng,959 Grim Plaza,26513,4141,41,2,41
42,+42,+42,162289.534,7395613673,7800698553,12/29/2024,9/5/2024,6353.88,5356.67,4213.46,Pasiragung,889 Summit Point,16643,4242,42,1,42
43,+43,+43,510003.869,5809204249,6358824575,12/24/2024,11/19/2024,2743.54,1813.43,4452.81,Linhares,30433 Ramsey Street,8960,4343,43,3,43
44,+44,+44,961971.824,500252580,4270495012,11/25/2024,1/18/2025,8259.37,586.14,8648.35,Yantian,7878 Alpine Avenue,14843,4444,44,1,44
45,+45,+45,43626.574,4478626215,2749792221,1/13/2025,3/20/2024,1965.59,8214.19,3165.91,Ḩadādah,3 Del Sol Avenue,6800,4545,45,3,45
46,+46,+46,988606.945,8633262257,4358905120,6/19/2024,9/5/2024,2032.42,965.05,7723.78,Kuantan,68781 Bobwhite Place,6010,4646,46,3,46
47,+47,+47,743938.893,4925166062,962339113,11/15/2024,8/5/2024,1523.82,8062.53,2910.98,Paloh,87632 Mockingbird Place,970,4747,47,2,47
48,+48,+48,877632.985,5132663310,7000510904,6/10/2024,12/19/2024,8490.78,1897.15,7266.6,Ilha Solteira,622 Autumn Leaf Plaza,16302,4848,48,3,48
49,+49,+49,339904.735,8727380739,9307807661,2/5/2025,8/6/2024,422.75,3623.35,6381.26,Quinjalca,06799 Lotheville Drive,23675,4949,49,2,49
50,+50,+50,907222.875,5558723618,136001741,3/31/2024,5/29/2024,5714.1,3945.75,4108.18,Anjozorobe,05423 Portage Drive,32270,5050,50,3,50
51,+51,+51,204216.851,373174616,8998470772,11/20/2024,12/27/2024,411.5,3771.5,9674.23,Jovim,48 Lukken Circle,32179,5151,51,3,51
52,+52,+52,441190.916,6363478430,7336681524,8/10/2024,10/8/2024,2012.66,7979.71,9117.75,Demuk,037 Veith Court,12134,5252,52,2,52
53,+53,+53,955505.568,2862327833,4844288891,3/18/2024,9/15/2024,2493.11,6762.2,4952.38,Mayqayyng,14 Mifflin Court,14656,5353,53,3,53
