id,nominal_capacity,nominal_energy,nominal_cycles,gravimetric_energy_density,volumetric_energy_density,industry_standard,nominal_voltage,operating_voltage,ac_resistance,max_self_discharge_rate,nominal_SOC_at_delivery,cell_weight,cell_name,cell_charging_temperature,cell_discharging_temperature,height,width,length,module_id
1,2051579192,555740751,1079327966,1417484685,1106894850,Ms,7457.43,0.74,833277180.7,1589897074,5927021106,8684589330,1,8.67,41.66,5063.17,7144.93,8518.78,1
2,61737334,1200525218,1242385427,920719979,74927515,Mrs,6526.13,9.62,7593483784,4424446078,870769550.1,1553316249,2,17.46,39.62,8100.93,3584.06,5924.99,2
3,1639096681,407787872,1267881592,1193430473,1305129546,Dr,4488.59,9.85,8039769604,9544059351,9350040343,6713974770,3,43.66,41.26,3016.8,9944.09,5026.2,3
4,1357125190,1114579490,94568689,521889817,165758933,Rev,1764.8,6.09,3778594237,1163445799,4087631684,8110205872,4,19.59,-15.31,790.83,2098.44,8602.58,4
5,2061809997,1753765510,1075112864,1067446735,1423093978,Rev,9831.07,5.17,3520079118,3712426166,8121189968,5025817029,5,55.52,34.6,9815.4,129.48,3233.34,5
6,1210957832,2069361589,266857809,1846968878,1617056109,Mr,6199.76,8.78,3962163586,4760075581,1291812110,281591909.1,6,22.66,44.86,2382.92,592.69,1277.16,6
7,1934720639,1943052672,641820013,788752539,190250872,Honorable,3840.91,6.68,7876542365,7877171193,2022417825,6806741713,7,39.75,52.54,3063.58,9635.02,4072.48,7
8,1731843075,1065660023,207742881,2134683671,196937418,Rev,9110.06,5.43,2824349302,2223819250,6409589011,4491279716,8,58.67,-5.4,1424.5,6377.85,6377.65,8
9,1879913992,179892639,1604767086,441318043,1728771102,Mr,252.61,0.46,7454607918,5317087925,4552184142,185036659,9,53.74,39.77,5403.69,7466.77,4112.12,9
10,2057558760,223661263,1909043507,1119840511,1894520795,Dr,1134.21,9.61,6021658072,4811979756,5020073769,1224240857,10,5.15,1.67,9290.04,1432.5,165.07,10
11,863979653,602444086,1244368638,1807494623,18623719,Mrs,548.91,3.79,3977081216,7463276167,1372457064,8621678537,11,31.17,9.74,1255.45,1424.91,4347.62,11
12,2083761100,2024292432,444528283,1411311938,518719246,Dr,2322.78,7.17,9782492898,9178229226,164563188.2,3487400422,12,9.27,9.36,5451.23,9618.08,4203.42,12
13,1666422611,1621082667,1810396413,567258545,1775059242,Mr,4460.04,6.34,1516114187,1273578592,9593520369,5391959078,13,3.17,1.47,4200.01,4241.01,4138.2,13
14,179946971,5684293,223464929,2093398190,1087416732,Ms,7875.48,1.59,5268699535,6831111519,8100834086,3011294891,14,45.24,48.06,4049.3,4739.24,617.47,14
15,1641231253,747515729,872969467,520736364,583203841,Mr,9572.22,3.97,9933165579,7826813458,5441715027,7488257300,15,1.19,16.91,4382.58,7561.83,3294.42,15
16,678458858,291801518,1948080885,2086456699,2090584405,Ms,6054.32,7.79,6616022031,5300274944,1000232772,9260430412,16,54.37,-19.32,4100.88,4329.93,4724.42,16
17,1634766820,483221681,1009874334,1386952883,1705715813,Honorable,6367.06,0.42,1164461226,1836541838,5119526375,7635313857,17,51.5,-10.37,7064.87,287.98,6929.11,17
18,149334517,751262709,376522033,1789186276,1109138101,Mr,6927.38,2.92,4604326967,2925904312,7584405042,7129700792,18,36.68,-14.61,3441.87,409.7,6960.87,18
19,1816868983,1948922186,1306269386,307593077,293333389,Dr,3085.97,2.67,7588426611,9122551359,521231591.3,4836328399,19,21.06,20.9,5200.36,7795.86,1268.76,19
20,300344106,1430716753,911289519,766585820,1706767791,Dr,8877.49,8.62,5922227227,5682019107,1952487237,5199221393,20,34.19,12.73,5829.16,8223.68,3590.52,20
21,1693972409,2143443437,1083565417,1812753389,912460326,Mrs,915.66,5.03,8155939542,9638299813,7286331303,82886763.76,21,11.13,-19.42,3920.65,3372.96,4298.73,21
22,982180552,223560778,1704905366,651187567,761645351,Honorable,9357.06,0.27,5564165956,6614235468,117623954.2,9225314192,22,4.9,-10.67,4192.66,438.94,1637.92,22
23,1789496522,77302882,1951489766,727073627,1387107438,Ms,7561.24,2.66,8779854962,4583381948,5232656006,3922079373,23,48.79,14.71,9386.38,659.85,159.9,23
24,330243286,1330702186,1869765890,408032108,499645510,Mrs,4789,0.69,2326058196,1367866424,9757838315,2551451296,24,16.65,43.06,7785.5,5414.59,5593.67,24
25,1854645788,2140667949,426487714,857453201,150911166,Dr,8365.43,1.31,8023988124,2749997189,3654115535,5016844038,25,55.62,-11.27,7874.04,8079.29,5687.94,25
26,2097566119,1142608988,1832111923,230205053,805639919,Dr,677.14,2.79,3367066007,3032696587,9544804256,9473412741,26,37.51,33.85,3648.3,9486.72,4929.7,26
27,1417616343,1085387092,739269543,1643851884,1090354487,Ms,8079.5,8.07,2159918651,3375260971,6989310730,1031733382,27,40.86,37.03,6929.88,1196.24,7710.79,27
28,515002888,177591598,1999701903,2126988369,1742592196,Ms,2561.14,7.42,9024764495,9881219272,7954774053,662202736.7,28,16.76,4.26,3911.92,3839.99,9925.58,28
29,1773333438,488768961,402064841,2116927787,1341813365,Mrs,9954.22,3.07,2603684001,7620488768,4548498667,6426337835,29,8.58,-28.4,5832.66,1841.62,9705.42,29
30,1578908104,11296393,1831012900,613033290,752904051,Mr,644.56,9.94,1298220040,9861541327,5768397544,6111291530,30,30.34,20.16,5528.93,7058.73,6929.37,30
31,244268342,202463500,1626322274,692477088,520364879,Honorable,7356.6,7.93,2821942133,2071873305,6468595973,655069073.1,31,48.83,38.14,5644.52,474.53,2531.97,31
32,2082777507,863424225,2002135716,282909198,1041336467,Dr,7574.62,5.29,3557521395,8325437504,8605297985,351068118.6,32,16.48,30.05,5840.5,1197.99,7866.69,32
33,610910749,1708113080,24632839,2095106140,189173082,Ms,7106.28,1.39,6532653365,7049242226,659955553.2,3396373436,33,1.38,-11.43,4740.5,8915.06,8822.95,33
34,1774992340,1863338507,310851343,388136444,924633014,Rev,3716.32,0.07,7974854819,9984993407,8354201422,6921942510,34,20.97,57.36,551.45,9844.87,8444.33,34
35,813353662,2123378425,81637301,1521116367,1739249384,Ms,1252.03,0.81,5783408130,8431503278,2037077778,5177405687,35,19.75,11.78,3482.66,5777.5,7837.24,35
36,1054821959,1783237466,2087330867,240749289,863331426,Mrs,6019.81,3.03,8215058137,8006045754,5629161994,859161680.4,36,20.71,13.82,509.73,6227.09,7201.86,36
37,1286925993,799464432,1197471145,1593013340,196523956,Dr,5539.35,2.54,7483144.53,1006204876,8360913476,3374971729,37,12.85,17.15,3597.69,6832.53,2825.23,37
38,1021557094,1148659278,119367612,1839095301,1086197855,Dr,1058.09,4.14,1359663067,3038405673,8745610824,6146436684,38,49.49,-13.63,4032.48,6798.9,2683.74,38
39,424335780,1055547031,1779092813,725303025,1570754379,Dr,7220.35,6.21,328524873.4,6934991895,8591142945,9267596710,39,49.24,29.5,1134.07,9628.41,4120.23,39
40,1141953310,1612446707,695094499,737052710,471848601,Honorable,5986.65,6.03,8955390972,9935797621,4328686140,3142211233,40,33.22,11.84,7727.79,5647.55,1914.83,40
41,1608772957,2052333827,1212575475,1435846269,534094749,Honorable,1986.18,1.36,997818197.3,6303183109,8903253025,9201283911,41,40.56,36.14,8507.5,8441.39,8051.22,41
42,434051774,1972910497,413012314,1499467892,1170137034,Rev,5977.33,6.78,3007803779,2836270888,2511313911,9917889843,42,46.23,36.47,9627.56,6914.88,7014.73,42
43,1713917603,1432507106,1142342123,1760264385,1311599031,Dr,8510.25,7.31,4995742662,7286993971,3904192550,6952457320,43,11.14,20.36,2487.19,7415.71,6514.76,43
44,1229367469,2055608473,758934009,2098793270,2004098137,Dr,1821.76,0.46,2439479181,6588577566,7814635068,2599039976,44,44.67,-6.49,3360.92,4588.25,2905.5,44
45,1292391987,1669628650,1606789278,769787416,361259282,Dr,3391.72,4.17,2734634852,4748874276,6812840994,1844679302,45,27.06,13.31,8782.92,8512.35,3837.53,45
46,205325226,285521235,134665088,740502196,1311757829,Ms,9709.37,7.89,1169424532,1282073961,6044915891,7335184950,46,57.29,-2.43,9441.87,5605.07,9437.91,46
47,2119408169,1746260572,1819508358,1716921613,879767608,Honorable,6635.24,2.11,5130105958,6856682506,2324902837,7192369342,47,21.15,21.1,4597.1,3892.89,1894.93,47
48,2104112453,1541530319,871951805,2102508268,580849293,Dr,2562.15,1.54,438899237.3,9775364841,6446690982,5325729744,48,21.99,8.3,9439.94,9600.23,3434.74,48
49,1646004393,2052628336,1302055250,460298692,120236972,Ms,9665.81,1.31,8473702143,9270596523,2183623172,2227048366,49,43.2,33.46,7822.77,2159.45,6038.46,49
50,390991495,364108236,1629325679,1288050511,136100131,Dr,1895.01,8.76,6854014218,712875559.1,737942559.8,6979010468,50,53.38,-12.83,2968.47,9090.05,9312.17,50
51,487758858,955753137,1254165962,1753127669,713314051,Honorable,2691.14,1.74,8111725834,5083349777,546813639.4,5837403892,51,54.76,5.86,670.8,2245.49,50.35,51
52,2078265927,508984543,1390340594,228172412,1084791901,Ms,6421.26,4.1,525315564.9,8821516082,9548875069,1831964928,52,23.83,50.89,3802.87,4269.24,2062.1,52
53,2028398749,2119572801,1443122683,1923171657,185356689,Rev,5708.66,2.45,8200557330,9352485039,5278988893,9916524010,53,44.13,-3.31,8002.21,7024.45,2288.22,53
54,1275741279,1725120179,1206690680,1489081050,989771992,Dr,5602.17,1.77,7286485730,1180847946,2326784194,5652181223,54,33.13,10.53,4139.85,9529.31,516.05,54
55,1491334377,760752290,1152234314,1178536466,868979953,Ms,1410.23,2.61,6924568115,1827075995,9234962400,548559971.2,55,23.44,54.35,8488.28,2665.74,9710.16,55
56,1213953552,1838372956,348443672,1567167050,821149948,Ms,3608.01,1.93,9595570344,4684350373,7175772956,6690261728,56,47.96,46.82,9912.87,4872.79,385.56,56
57,518322777,395584989,1005193476,1093042477,2141526097,Mrs,7881.01,6.61,4348232805,4344225245,1857921317,8604396310,57,42.59,-16.94,4953.07,455.75,2180.77,57
58,362867330,1811665340,232152741,273905806,841750322,Dr,843.78,4.86,4885605877,9043768787,277628107.7,6532617284,58,16.37,11.48,4240.67,3567.25,9208.71,58
59,173150988,1117261854,1435905162,826364676,962648705,Honorable,5425.4,3.56,5172171455,5463964591,3468692318,3733541886,59,36.6,40.92,5438.48,5050.19,7682.28,59
60,794651515,87102304,1791807773,1203238827,1950936199,Mrs,7195.59,3.24,3185912388,9232843980,2099868928,6088991711,60,12.79,49.99,4319.25,4180.62,9349.93,60
61,1659908368,578124635,769333938,173235083,37609603,Mr,3511.95,2.21,6686205687,8147435893,4836325678,7173943781,61,3.81,42.08,436.96,5604.61,382.28,61
62,1011061933,100646048,1932265798,1755567177,1609785718,Ms,5374.87,0.87,7297649433,2685029224,4592783702,8687108539,62,52.47,-9.38,3001.91,4934.51,4578.05,62
63,1530585384,1801918394,6944831,1629322696,2024391433,Mr,7490.34,3.99,7213013867,5182470620,6930562377,1324660162,63,21.63,51.25,543.42,835.88,3459.89,63
64,1692324907,1013046674,187479148,1910452200,699861446,Mrs,3693.16,1.67,8203635488,1266267206,4435159944,7762805213,64,9.41,24.25,2776.22,4616.87,5635.69,64
65,555192032,548880526,1433608326,52360898,824164862,Mrs,1682.33,9.23,8275691216,2143383293,4117534249,3355504715,65,50.18,-18.69,564.69,4804.87,5569.21,65
66,223965,439677651,649235950,1859895572,1823433040,Dr,8277.62,1.13,8470474299,926740920.3,3547022225,4612105905,66,30.11,9.88,7776.91,6039.38,3539.17,66
67,1396998840,2095727463,1721133603,2095413350,697391880,Ms,3359.96,3.09,1019026169,1154124947,5758721211,8131353401,67,28.69,34.82,683.49,8765.49,3543.53,67
68,1410140629,13006877,335683515,294500803,1529959602,Rev,7609.99,7.42,7577178455,9345126792,2201666264,7800757178,68,56.67,-18.67,9645.6,9651.36,3068.71,68
69,1078794129,1886789558,1794296853,223229703,1264617226,Mrs,8449.88,1.77,7640436926,4128232976,5124266564,1414672152,69,31.05,12.21,867.48,296.11,8201.15,69
70,518767281,266315819,1447769745,581678770,1558340182,Ms,1944.09,8.05,2643857639,3679121071,8669337054,1682407621,70,42.79,43.35,8816.44,2058.92,1859.07,70
71,1104503987,1390409218,665865097,2021687295,911855837,Honorable,2375.41,9.11,7594808773,4675845787,2311750186,7483051831,71,33.74,49.27,4676.01,4162.05,2416.25,71
72,878804444,1987596310,1951405416,462844313,673182916,Dr,2825.26,4.01,7321336526,205283030.9,1062254885,9797766551,72,13.97,38.86,787.46,5340.18,8837.37,72
73,829503550,842615062,1482163776,1372491441,458237445,Dr,8509.98,6.41,2533703073,3858355985,1199828554,6041566724,73,1.86,-0.95,5432.71,7195.5,758.64,73
74,189839259,1694109382,695141550,1158811915,234402343,Rev,5035.88,2.37,7321489075,1522724535,108707977.6,7584993484,74,11.78,8.65,1406.08,7788.54,2333.04,74
75,1871297230,1876068855,975808291,207835495,171911417,Dr,6218.16,8.9,1495230050,1154874106,1888041961,8949208870,75,2.03,-25.5,8955.42,8139.06,2498.68,75
76,331217530,484959197,993189506,319015827,1055038945,Ms,236.81,2.06,8632160753,5585743359,1616062768,4684879825,76,13.37,-6.85,4792.61,4391.53,1919.29,76
77,1960072781,763827443,1155390041,868626733,511443883,Honorable,3361.62,5.63,6111642575,7943375541,382470951.7,1014024446,77,27.61,-1.86,7493.44,9880.28,3761.34,77
78,1449234707,1017764597,1743827425,631650627,1083716367,Rev,3913.43,3.99,185453768.9,1107272641,3161313338,6676846237,78,58.76,9.4,6527.73,8892.62,5072.63,78
79,1169984522,1943344716,1541793278,1388399680,1544792876,Rev,2062.01,8.07,7459658336,8982388946,7008344767,7236664756,79,8.68,50.28,6227.69,9867.64,9339.45,79
80,52868911,1718537342,1923808899,1442865784,154264037,Honorable,5100.5,7.87,9857779633,4719261348,30445407.46,4954301854,80,7.01,10.6,5428.34,9796.36,8053,80
81,1647592672,501501911,1993781560,1978641747,544827510,Honorable,2414.99,1.4,3334758486,9305555448,170156521.8,4586532778,81,58.54,-18.28,7521.11,72.98,7689.63,81
82,1861662046,1000404921,2010275342,197448342,697422487,Ms,8201.17,3.15,4938302765,4638269724,1720375515,135028324.9,82,5.08,48.47,9011.03,8384.7,599.58,82
83,774934928,812375950,968479469,1955203585,489360482,Mrs,1852.41,3.61,107970959.2,299193602.2,1270918337,2285424483,83,13.85,-1.62,6681.05,33.8,5450.61,83
84,903828156,2056107371,955260447,50018594,1890903212,Honorable,9883.09,5.49,8335540269,9974539590,4107028651,7383317626,84,27.55,-23.43,4221.65,7655.85,7001.53,84
85,1483809462,1029559330,624023447,1564648757,1502619425,Mrs,3547.4,7.23,9827553901,7466853940,6793975379,1052906251,85,58.27,-21.8,6949.98,9165.64,3282.23,85
86,2111378284,825214661,221977122,1722536854,300682476,Honorable,6214.68,5.02,2975879646,8973612436,3380722854,262012516.8,86,19.39,52.87,4882.67,1933.59,1932.64,86
87,535000217,413666112,946924007,295565210,1830393674,Rev,4493.92,0.49,5380358786,7395571808,9506423013,3862877740,87,23.96,-21.65,2562.08,8993,6976.75,87
88,990483592,689150668,137905518,715671806,439130442,Mrs,2635.91,1.06,2563045684,1990948662,3423062460,2913237443,88,28.03,-26.2,2699.74,5890.42,5963.91,88
89,327778923,418068413,567832113,1101574580,538521546,Honorable,8732.21,2.7,802545798.9,2954544568,8207120578,2819017326,89,27.99,-11.95,1842.81,9608.86,3347.71,89
90,1889958507,713924891,8808982,91520732,1125642112,Honorable,6712.18,8.31,2041963817,6408527775,6037962911,3071297762,90,26.55,8.34,8536.01,6060.44,1939.05,90
91,572971155,656230818,25925385,1099255838,2106585758,Rev,9169.51,6.48,4272477691,5587303007,6583053102,5289408783,91,21.39,-21.33,9095.21,4485.55,5348.32,91
92,1825010264,588317180,2079589713,606250882,534880885,Rev,6632.86,8.69,555361838.8,406107926.9,5175766937,7026911376,92,12.04,-15.75,3203.97,3387.2,1615.62,92
93,301362329,12735083,91391053,590856540,711492800,Mrs,9118.75,8.26,5829608706,3233826852,3018420641,9222657330,93,9.62,-10.26,5170.29,6050.85,6464.13,93
94,269559621,842020868,1409167835,108641710,1735989850,Mr,4535.04,2.32,1663995920,1207754587,2941565982,2677966865,94,54.55,-26.84,6353.92,3267.17,5451.8,94
95,1259709822,1074877686,454929732,1107473730,157496514,Ms,120.72,4.98,8307515118,8531919786,7643014559,167620399.8,95,22.41,27.54,1381.3,6458.38,4721.86,95
96,1078358626,1691257934,756628278,2027178515,2113434866,Mrs,7002.54,6.36,8100504548,8485679332,1007326454,9925764805,96,38.32,37.44,3988.61,606.87,442.82,96
97,1247058292,2058831989,1275124820,420983613,1486302608,Honorable,8612.23,6.94,9030929706,6861845558,4473915588,3568804152,97,14.65,-23.72,2000.26,2420.89,9009.07,97
98,1144253560,2131988946,1307597437,2004835605,1190011435,Mrs,8149.38,6.84,5290892760,3113826914,2419818670,9464554861,98,44.31,-14.72,185.9,3296.46,8720.21,98
99,827500018,86026852,1251875323,1263459339,321594212,Dr,9927.42,8.26,6862811320,5521696570,7085463723,304332711.1,99,40.58,31.27,1813.72,2805.44,1517.04,99
100,2083013039,303608465,748983426,976851089,1680482330,Mrs,6348.64,3.73,7161701878,5874344179,8139382004,8423219548,100,47.01,49.72,631.81,682.91,2145.78,100
101,1427331666,1007612996,132193450,804161371,1918153106,Rev,1007.68,4.36,9933202861,9399590960,5019823237,9330228903,101,47.91,58.71,561.91,9019.18,2813.64,101
102,754635085,1847651890,542277761,1631948736,569974234,Mrs,1913.01,7.89,7351107865,3753527365,6371755458,3741475809,102,56.06,-5.62,443.74,5123.94,1759.87,102
103,1707859525,538146593,922295882,98414505,699527891,Mrs,3268.54,0.42,1070959241,484601926.1,9803176666,5887911935,103,35.48,24.49,463.96,2787.04,2785.77,103
104,1572062091,79214541,1486899689,1545763782,2147297550,Dr,3213.34,3.97,4114269207,8822067126,6934026163,3038754028,104,0.13,55.78,4346.02,7855.16,7708.88,104
105,599062113,1168799911,1210901773,2092893968,1982835444,Dr,1972,1.89,7672155364,7703984494,1492384504,5239891583,105,46.9,43.33,649.28,6821.08,269.11,105
106,677844661,1440916368,616036329,409119223,1085978202,Honorable,4759.88,8.64,4060958021,3308681611,1440390203,6990344459,106,29.04,-7.53,1350.77,8945.49,6610.12,106
107,1563638982,1705022246,1617437155,42487373,1730144763,Mr,6140.13,0.1,9344587999,8895721953,2502713081,8346663865,107,32.78,9.07,5255.07,1112.51,820.44,107
108,1416788313,710808505,951720628,2146981010,548447948,Mrs,2843.65,2.3,9591743299,9311867072,9856421273,1185884956,108,55.56,-18.17,7947.47,1940.22,3283.33,108
109,1957393718,421460579,327106152,1499496566,1880455889,Mr,3816.03,8.27,9434958313,2734487985,5388896895,2867339124,109,23.36,56.24,8690.19,7230.12,9623.94,109
110,1815011580,1356932939,89259010,1507632111,357161331,Mr,3744.97,7.68,7225212641,8567283542,9448950701,7215232486,110,52.27,11.34,1569.26,7879.5,5228.71,110
111,1634621379,1770952344,1927262358,687486336,1467529699,Mr,7030.69,4.82,9333611458,5235736088,513275204,3155931987,111,56.49,50.23,8761.79,5632.28,3640.9,111
112,18724813,2009793889,2016999752,652752517,70010385,Rev,6595.1,4.69,6986765765,9232308092,6606922187,8656771067,112,57.89,-7.04,1440.28,8645.65,1181.19,112
113,360867059,1416567609,1850972565,1908021656,294036827,Mrs,3198.37,3.92,7942505361,566480826.2,1982543970,9865298254,113,45.67,58.52,9160.87,3546.84,1027.22,113
114,1745925995,1155444538,119080151,1593556099,1189183203,Mrs,813.74,4.49,4112205669,8955829405,3966927972,6317738768,114,23.29,42.75,3291.42,1014.62,369.95,114
115,340775184,1578992401,1839989178,480117056,497400815,Rev,305.49,4.16,5123579301,5107297341,245394061.4,4620267907,115,31.99,57.34,866.09,556.52,8789,115
116,761174090,1648219177,1137352193,1324710737,316789403,Honorable,6636.12,8.59,2840815200,4214500582,5450024534,1473592655,116,14.76,58.62,8594.16,6446.41,2025.75,116
117,362574035,1250268410,1452287306,1869472986,1206236781,Honorable,9582.64,6.53,9517709056,5350329928,4644593124,271434065.8,117,56.41,45.83,6238.34,8989.57,7910.54,117
118,415442287,1365190407,1237435518,1379082241,534343320,Ms,3231.17,6.74,5428715054,4671006185,4450371671,3557063941,118,14.64,26.92,7589.72,7901.23,8084.56,118
119,1649310395,1794034789,494894237,48085429,1057195566,Ms,3229.94,2.82,9254703558,1441104135,4264186692,9446909878,119,46.71,56.94,1016.83,950.21,7265.97,119
120,1714211058,2100961311,157107352,1136639797,1156529129,Dr,2246.24,1.8,761068363.1,6964243852,7961420423,4951507826,120,22.76,3.23,1849.85,3031.46,2093.69,120
121,1623867474,1252863558,1807106294,664716750,601435179,Mrs,6058.92,5.55,1587565758,462471732.1,3376673954,9553329105,121,30.69,-12.09,6602.6,2190.1,2274.59,121
122,288552099,1785455965,1286198624,1729436026,326019548,Honorable,2025.21,7.69,5169614930,7267412839,2698973479,8562766379,122,48.3,47.03,6103.96,7532.14,909.95,122
123,236575901,1347975415,174403338,1920079512,790330729,Dr,2190.68,0.74,3116727653,1749569.52,6491783124,1436631426,123,45.7,22.21,6765.96,9969.42,7611.42,123
124,872900915,918182802,1858994672,1815515381,223315066,Mr,5749.43,5.78,7441486045,6258349070,4995320896,7619445971,124,54.61,45.65,1571.98,2970.08,2828.91,124
125,895736878,1705540077,110665491,1189550186,950291783,Ms,8523.9,6.98,6630581275,5985309478,3182173197,9943619181,125,28.88,-17.39,1209.24,9986.56,126.67,125
