id,height,width,length
1,7261.35,6323.32,5062.95
2,7887.33,551.7,1783.32
3,3166.3,2407.72,4258.05
4,9746.47,3643.8,7951.57
5,1281.53,3005.65,2902.05
6,497.89,5463.92,7026.92
7,1444.37,5359.96,2033.8
8,7343.79,4605.71,4121.9
9,8569.57,7640.65,869.48
10,7351.81,5991.9,5445.13
11,2993.09,9179.8,1968.73
12,9738.3,8109.33,5439.03
13,2475.36,7335.98,9905.35
14,1757.63,2881.33,5047.71
15,7610.91,4045.12,9377.14
16,1367.1,1266.07,5811.04
17,7101.53,2966.28,8233.63
18,7419.11,373.0,9241.45
19,5013.29,106.19,7340.94
20,1648.28,7721.19,2494.39
21,2859.03,3904.0,6248.45
22,4076.06,3893.72,5369.9
23,4596.48,7195.11,4845.07
24,34.61,1184.52,7044.25
25,2140.76,5720.81,668.62
26,3426.13,3150.48,4002.88
27,1901.18,7925.72,2686.08
28,1187.13,9154.46,6774.56
29,1773.65,2244.38,5.73
30,7884.0,5794.71,391.57
31,2891.3,3200.1,7811.0
32,6717.7,3729.52,792.36
33,3974.09,111.43,1033.21
34,2009.13,8264.88,8007.92
35,675.4,3477.56,3488.52
36,8022.46,639.66,2407.99
37,2008.06,2080.81,794.02
38,5256.75,3334.56,252.1
39,8420.39,8280.23,186.71
40,9491.39,7088.73,3372.69
41,230.13,3225.38,2915.02
42,9911.53,5222.99,1870.78
43,962.12,5139.5,7578.8
44,411.33,4172.95,8857.29
45,5707.52,5066.94,617.28
46,9515.7,459.21,715.82
47,2286.68,1525.21,8860.47
48,2204.28,2505.87,4320.72
49,2095.63,7341.41,6938.56
50,3392.91,2603.8,7976.73
51,457.13,4733.82,8292.92
52,4970.21,1584.0,7559.47
53,9245.13,56.98,1462.93
54,2154.1,1781.57,7021.4
55,4268.03,2608.01,8138.62
56,932.21,7823.82,8548.27
57,2741.14,613.57,843.76
58,6573.91,2500.81,5766.62
59,6902.72,6861.83,2263.78
60,99.3,3815.27,797.05
61,1373.39,1921.52,1248.56
62,4453.91,3275.63,222.98
63,1925.1,5615.32,9142.93
64,391.65,7531.47,7031.85
65,7621.28,7039.04,1900.47
66,5202.41,4729.5,8566.2
67,8158.58,5600.01,2041.91
68,3014.77,4464.47,7910.85
69,3686.98,2586.16,4039.76
70,5587.61,4042.81,6776.92
71,6460.59,2334.9,8552.69
72,3028.55,9042.07,2807.47
73,8348.11,6310.51,6761.65
74,9805.33,7299.53,9959.74
75,9514.66,206.43,6105.25
76,7749.77,5585.34,1009.56
77,3915.33,5656.33,7350.45
78,8505.16,1132.04,3900.09
79,2982.8,7661.32,9220.7
80,6650.75,3094.26,4122.37
81,4765.16,1243.13,3924.02
82,8750.55,4182.79,9208.75
83,931.87,8601.88,5653.77
84,2572.21,4771.29,6012.16
85,4854.97,4573.43,7616.45
86,8058.28,3948.39,5518.94
87,2001.73,466.42,2913.32
88,3986.96,2543.74,3266.58
89,5782.42,6800.27,3853.38
90,8188.19,7080.12,5979.85
91,6836.09,1758.02,5400.46
92,5708.47,7495.37,88.4
93,1570.65,6650.98,9604.02
94,1341.57,4393.58,4871.97
95,3946.72,3634.86,5220.8
96,2752.56,8016.2,316.2
97,3576.47,4151.56,9303.84
98,9449.49,8291.8,9112.43
99,1721.33,6995.43,3008.39
100,4418.54,4973.74,9839.71
101,1030.53,6330.72,1608.54
102,548.12,6889.96,7561.22
103,177.28,7816.02,7717.63
104,8404.51,8638.68,1292.57
105,1603.26,5631.17,8649.8
106,1900.15,4265.86,3790.35
107,1054.77,2059.98,191.65
108,2993.73,7458.59,1985.7
109,3089.67,1733.07,9232.4
110,2310.98,7959.58,2055.51
111,164.28,6747.77,5252.44
112,5766.35,1461.36,3040.02
113,7455.54,8989.54,2680.16
114,6631.69,986.22,8689.13
115,2649.26,8436.91,2403.28
116,713.91,5154.92,5781.74
117,3633.69,9271.42,3554.35
118,986.29,8098.26,7601.74
119,1412.83,924.65,44.94
120,3380.45,4562.24,7269.58
121,3598.77,6830.86,2795.36
122,2847.99,9088.29,2656.56
123,9956.99,8140.06,9895.93
124,3537.68,8666.15,1975.77
125,1892.47,2050.71,9606.19
126,6900.3,7726.0,9333.1
127,3949.25,305.04,7551.72
128,2146.18,980.27,3243.19
129,3097.92,6438.47,9152.6
130,4787.24,5718.49,4136.04
131,968.26,7703.26,7972.01
132,7397.71,4489.47,2742.47
133,7943.89,2412.91,6797.23
134,8855.1,902.06,5262.98
135,5395.85,9636.99,1214.76
136,2035.61,7489.37,1065.97
137,8565.46,4074.76,3982.26
138,8129.25,7409.35,689.35
139,2577.62,5922.29,895.11
140,774.47,6683.34,250.06
141,4382.98,7806.77,7551.08
142,5190.61,7409.59,5523.66
143,5455.66,1487.77,3595.05
144,7872.64,3366.7,1205.57
145,5398.6,2640.41,2010.18
146,4422.91,2192.74,4392.55
147,2174.66,1392.87,5520.61
148,150.48,96.2,1263.95
149,6551.1,5911.59,2029.77
150,482.83,1515.2,1998.4
151,8683.43,2597.58,1189.64
152,4699.99,7103.0,9602.47
153,5004.51,2145.54,7860.96
154,581.16,2520.58,6530.76
155,3219.08,1277.08,7059.1
156,7504.61,4995.21,1503.42
157,4950.88,1538.17,4123.76
158,7726.57,8093.74,4054.52
159,2436.7,3079.31,2301.4
160,8770.79,5184.31,4199.99
161,6306.36,1055.94,820.45
162,2650.56,2172.84,450.42
163,9340.29,115.76,4177.54
164,1861.42,9771.34,4456.3
165,4149.89,3567.85,1437.04
166,7097.18,5225.36,4319.39
167,9964.11,7213.02,8385.35
168,2090.03,8152.98,6564.09
169,9457.24,2245.47,5465.87
170,701.71,5991.24,2125.12
171,2277.75,645.5,2547.2
172,1618.27,4483.54,788.57
173,927.95,7745.13,8319.13
174,6671.47,5348.96,9029.83
175,9910.59,5607.85,4414.48
176,9784.48,9207.53,9420.69
177,2138.48,5243.02,7116.2
178,4373.04,6893.22,1903.2
179,8804.22,2794.02,3129.05
180,3966.96,2997.44,7162.34
181,584.72,5005.5,9766.62
182,8769.16,3908.93,1773.62
183,3123.93,3415.54,9423.22
184,7873.66,408.44,6425.68
185,8273.63,7447.29,942.0
186,6454.37,8080.56,9770.56
187,9733.39,2007.65,4953.75
188,6485.17,1859.75,470.1
189,8631.48,3869.93,7844.61
190,1347.51,3983.17,9987.42
191,1804.61,9204.13,8569.19
192,1865.04,5063.65,5493.97
193,7605.98,9033.2,4385.12
194,624.48,6139.41,3778.26
195,5381.03,1972.07,1815.2
196,4934.67,354.08,9234.36
197,3619.54,1659.26,1133.72
198,5306.83,1642.5,5334.98
199,4630.64,3370.46,2227.64
200,6414.91,4682.19,7324.16
201,7061.63,4012.63,9518.22
202,6752.69,3969.03,7436.56
203,5310.22,5871.04,3614.52
204,2060.8,1809.23,9964.2
205,2657.86,7125.56,4621.34
206,8238.33,2511.64,4675.02
207,5102.33,3946.98,936.8
208,2525.21,4749.81,1490.61
209,8769.34,8731.88,7240.62
210,4845.36,1248.85,6054.34
211,4571.47,4156.39,5599.55
212,4187.37,5783.9,3581.77
213,1459.84,1744.92,9663.66
214,5727.96,819.38,909.55
215,3583.43,4829.82,6304.02
216,2423.55,7668.5,9416.95
217,548.39,8534.69,3894.84
218,9832.02,986.4,7417.64
219,6358.29,4069.84,6815.34
220,8327.03,8474.7,4146.0
221,1640.02,7543.73,4134.78
222,4554.29,861.86,102.95
223,2443.46,7299.86,4222.42
224,8842.09,3244.82,5636.15
225,475.85,8082.47,1516.71
226,8900.95,1492.98,9875.0
227,7971.83,4135.4,4047.13
228,2315.43,5299.14,4735.25
229,4519.33,1661.25,4118.81
230,6719.41,1002.57,9675.53
231,8490.34,4447.86,6824.7
232,9435.17,1004.11,3805.55
233,5098.64,9379.87,3763.35
234,8126.15,356.8,6613.58
235,4123.64,4416.62,2282.91
236,5902.91,5172.54,1407.17
237,9113.17,128.96,6630.99
238,3799.67,1932.14,6258.83
239,968.49,6702.83,8039.66
240,5710.2,8510.89,8874.55
241,4905.06,6062.31,9788.51
242,4118.46,3810.46,7332.18
243,5537.67,8522.3,1890.43
244,5179.83,3036.44,6782.38
245,5042.26,5673.41,8880.19
246,6966.12,6209.63,2968.28
247,3149.21,9427.09,1957.86
248,7260.73,2732.95,1363.32
249,3413.82,1153.74,1194.05
250,7666.18,159.79,6223.66
251,679.75,918.85,7476.09
252,8132.51,554.64,9009.39
253,1026.61,983.29,9116.8
254,942.52,4908.83,4835.87
255,7523.49,1186.17,6667.13
256,3714.93,8113.82,358.38
257,5596.15,4265.57,6784.4
258,1236.57,256.71,4625.79
259,9988.33,1904.71,2156.05
260,6622.49,8679.97,4723.85
261,6345.9,3071.99,6799.09
262,4596.07,7331.9,6772.35
263,5088.44,1673.04,5501.62
264,7045.91,4495.83,3403.26
265,5930.38,4625.31,6170.58
266,2518.75,6648.91,5537.23
267,2474.35,4256.6,8561.41
268,33.93,601.22,8699.72
269,896.15,5579.17,7670.02
270,2875.76,9829.54,2488.82
271,3517.06,5096.87,1629.31
272,8896.21,7937.49,9741.24
273,1188.05,2076.77,4403.71
274,3748.14,778.64,8935.14
275,1585.86,1972.51,5872.18
276,6188.1,1257.24,3093.16
277,1463.33,5186.25,2295.96
278,5089.29,496.24,9399.9
279,59.09,9955.1,7210.55
280,9484.01,9004.38,6853.61
281,6235.38,7803.92,8510.62
282,7805.27,8833.71,1405.68
283,134.13,4835.45,5752.22
284,8418.91,9344.31,3390.8
285,1130.11,1146.57,9964.86
286,6604.27,3366.02,9738.93
287,9237.73,9994.54,605.55
288,982.56,2185.62,4712.89
289,4347.16,1391.22,3457.72
290,3102.9,6950.73,1900.91
291,1851.83,9846.08,1007.27
292,3920.95,2241.58,4788.48
293,4448.7,6791.34,5190.91
294,4695.39,3527.16,405.78
295,5374.74,2199.53,2798.52
296,8956.29,4335.7,1166.47
297,4457.46,5145.22,9111.62
298,5717.89,9409.21,5708.73
299,5771.69,3344.88,422.52
300,4890.83,4891.19,8340.84
301,9949.39,99.58,935.87
302,6696.28,362.25,6759.4
303,672.36,1710.79,436.79
304,7681.22,5545.21,426.83
305,6712.0,8294.72,7238.18
306,897.51,402.84,8401.5
307,5682.45,207.28,4300.39
308,567.14,6768.96,5712.7
309,6192.82,2525.84,2544.48
310,5766.33,8675.6,5854.65
311,547.5,2936.92,7120.64
312,9535.75,2704.32,9534.69
313,6086.15,2988.3,9401.43
314,6106.14,2382.27,8986.8
315,3417.06,6638.28,7832.2
316,3950.12,7041.02,4343.9
317,5667.37,7161.53,3613.04
318,5551.09,7674.2,4899.19
319,2049.34,3720.18,8327.14
320,9490.37,5047.2,3765.72
321,5548.39,8541.32,5903.54
322,1984.47,7947.05,989.48
323,8224.76,18.07,3347.94
324,6291.75,6863.96,7907.75
325,5951.07,772.9,5501.48
326,7561.19,4290.72,13.73
327,3857.23,8663.58,9092.72
328,207.68,6855.34,1216.61
329,505.43,8677.36,5149.42
330,5751.73,3106.19,8358.78
331,4222.06,8909.04,3109.58
332,3907.63,4943.48,2259.69
333,6273.76,8270.56,7346.86
334,891.76,3783.4,1477.27
335,3359.55,833.07,6599.06
336,9786.63,7278.48,4171.67
337,7759.91,2236.94,9494.8
338,1691.85,3031.69,3224.41
339,2775.31,840.77,1252.82
340,9149.36,1558.22,4117.56
341,2157.61,2427.13,608.06
342,6703.38,2663.52,1121.89
343,2669.62,5254.3,7819.39
344,340.29,1746.8,5872.02
345,1125.37,1373.36,8175.58
346,5500.66,487.31,8991.65
347,3230.92,2544.85,251.05
348,8022.2,5366.13,340.86
349,9109.04,7306.03,3679.56
350,1502.67,3586.64,4798.57
351,8141.38,3884.05,5139.06
352,2286.32,8629.71,18.38
353,4198.46,2754.06,8942.66
354,3290.34,2466.84,706.91
355,5364.0,3445.88,9913.0
356,5738.87,620.3,9110.1
357,502.74,3520.09,160.31
358,5695.59,1428.08,2779.36
359,6612.56,2352.46,6522.53
360,8736.49,5539.84,9440.4
361,7663.92,9340.81,8272.27
362,3985.49,937.38,1541.2
363,9187.7,6018.08,7682.58
364,6037.73,5550.21,9191.53
365,88.65,956.3,8876.87
366,9737.35,1730.37,6674.14
367,4319.97,7410.09,5858.73
368,6960.67,5503.41,7674.95
369,4288.87,8756.08,7322.72
370,1223.7,3017.79,7236.91
371,2100.62,3295.13,5847.66
372,5482.78,430.67,4803.23
373,7107.28,6528.99,4181.3
374,5316.29,4215.25,3273.84
375,7484.83,8639.44,3491.29
376,7031.56,1975.82,2153.07
377,3787.03,5178.35,6366.69
378,4922.34,2963.39,8192.56
379,3549.53,5880.91,1972.3
380,4403.15,3939.09,9458.2
381,7513.23,728.29,4690.78
382,5325.04,7676.18,8068.16
383,895.87,9834.51,4711.32
384,4792.68,7281.66,1348.8
385,9003.65,188.04,7828.49
386,9569.01,3982.82,6122.33
387,8459.74,733.53,430.15
388,8288.31,6266.34,2355.84
389,5697.16,9798.62,3870.81
390,4893.98,9850.31,4411.18
391,9288.88,4310.1,3222.67
392,1387.92,9164.78,2581.94
393,3204.44,4899.31,9824.82
394,8840.35,5914.45,8432.79
395,8371.92,1225.37,5167.45
396,7031.48,7370.79,5252.54
397,3336.02,8552.57,3067.59
398,9170.92,3308.58,8611.36
399,9212.61,3047.58,7593.43
400,6269.27,2646.37,8988.89
401,42.29,7659.57,1301.39
402,1708.43,1684.06,6804.37
403,9148.64,5704.73,5182.55
404,2053.77,3689.15,949.64
405,6824.39,1937.0,1801.23
406,1194.84,2426.13,2024.21
407,4976.92,8593.84,1540.84
408,706.75,2998.9,5738.82
409,3563.32,9312.89,5771.99
410,3941.47,1575.27,9339.34
411,412.51,3504.56,2965.05
412,8032.05,2947.22,2646.61
413,3016.84,7405.74,8074.66
414,3959.99,4351.42,9846.86
415,3220.87,1645.77,1620.24
416,2785.74,6392.61,4318.87
417,5828.36,4824.69,7781.83
418,1292.7,4728.72,4940.68
419,7836.79,4094.3,7237.01
420,2574.05,7800.4,3674.93
421,6287.48,4891.59,9560.49
422,1565.2,7485.69,6104.09
423,4519.26,2276.83,7434.66
424,8991.9,1696.51,3335.36
425,9961.22,2621.49,8459.41
426,1599.77,4303.73,9289.77
427,9241.67,7350.97,1646.17
428,157.59,6078.34,2077.59
429,7824.58,8336.52,1997.29
430,2659.26,8495.63,7842.0
431,686.53,4513.15,6296.67
432,6060.19,9065.95,9042.15
433,5269.33,2849.27,9881.19
434,2572.63,5695.79,5492.75
435,6777.05,1005.01,89.21
436,1713.68,1156.99,9557.06
437,4551.46,4302.21,9111.09
438,3420.72,2549.88,9757.54
439,4235.11,7225.72,9620.69
440,289.14,6365.53,2662.76
441,6906.35,6117.78,9805.56
442,1991.18,3206.28,4681.56
443,7960.41,2244.13,2359.03
444,9796.3,3470.97,9511.95
445,7458.99,5043.12,9833.41
446,9363.88,3499.53,7066.12
447,4496.74,9774.86,4503.64
448,3792.35,7973.09,894.01
449,3523.39,6663.03,4412.63
450,8760.84,8014.34,9268.5
451,39.75,4876.91,4808.16
452,4219.48,7774.58,179.25
453,7465.43,4452.01,1969.16
454,1674.45,5024.25,3929.46
455,5103.18,2182.69,7839.35
456,1674.64,2426.58,2161.91
457,549.32,2509.88,1372.16
458,1354.05,9614.98,8929.83
459,1851.82,5256.87,442.51
460,6660.78,756.54,723.02
461,5678.02,6247.13,6306.01
462,2018.73,8971.77,7685.76
463,4792.98,6470.11,8490.6
464,3001.39,143.25,1302.96
465,4234.03,5209.99,907.96
466,3179.07,9713.81,4534.59
467,8293.43,7112.17,8361.51
468,6312.64,5307.28,529.39
469,4501.49,9733.65,5141.97
470,6999.08,1642.63,3438.33
471,4394.08,5388.98,3633.08
472,2029.42,621.88,9788.34
473,6560.57,7541.44,8589.75
474,3198.07,5001.0,6054.19
475,1077.14,3418.44,9850.38
476,786.79,3960.83,4022.86
477,5090.68,800.43,6421.19
478,2832.89,9867.6,5919.08
479,8488.81,2541.59,8228.83
480,6983.71,6792.9,9197.95
481,1491.09,3505.85,8615.84
482,9842.75,5446.55,4318.5
483,5472.69,410.74,6546.88
484,7182.51,4630.54,8386.09
485,2975.55,8447.81,1774.88
486,6533.32,7964.69,204.55
487,5754.8,1188.93,8073.75
488,4588.36,4469.97,2913.66
489,6775.51,9187.21,7086.63
490,2799.48,8651.75,1835.96
491,1610.73,6164.54,8336.6
492,8861.08,2.43,4558.79
493,7658.28,5320.19,4242.46
494,1919.54,180.15,5635.62
495,9549.57,9332.34,6397.59
496,5165.59,1182.35,6894.91
497,5561.23,1249.07,9852.27
498,8718.18,5975.02,8040.01
499,8212.66,4108.62,6053.55
500,7213.84,3726.65,3769.53
501,1771.82,4483.68,1277.91
502,4631.22,6095.99,9807.84
503,3696.94,434.97,9891.99
504,8937.66,4786.71,1840.94
505,3790.57,517.77,8846.39
506,695.61,992.28,5692.39
507,7099.19,5871.8,7351.44
508,5265.63,1992.61,6458.92
509,6445.32,1564.99,5954.65
510,2457.83,1200.66,9401.79
511,7828.14,2968.43,8814.25
512,1625.13,8139.76,2295.11
513,2747.02,1005.17,2921.19
514,3676.32,7525.28,2673.33
515,4945.47,6647.7,6363.45
516,7257.86,6019.25,1782.63
517,8270.25,4020.6,4336.86
518,8893.41,2456.5,1860.58
519,3361.33,8892.01,1034.93
520,6658.17,2010.85,502.15
521,1562.7,6682.63,4375.16
522,4331.83,5199.56,384.46
523,7807.49,4300.71,8011.89
524,6943.75,6133.34,1765.57
525,1841.28,1674.83,7037.28
526,8271.67,8610.44,548.2
527,486.73,6634.1,8213.18
528,9619.44,3419.84,3425.19
529,7432.86,1291.21,3461.86
530,6982.57,7862.8,3828.23
531,9434.64,9381.28,8858.22
532,8474.93,2635.54,472.51
533,7041.35,2623.12,2283.13
534,121.25,5249.72,3586.11
535,4577.67,3240.26,9045.19
536,2268.64,7206.3,4947.38
537,9866.22,421.97,7858.59
538,3101.21,6982.11,7020.03
539,338.15,3966.97,3532.23
540,1050.62,201.78,835.54
541,7458.07,2529.85,6193.82
542,4612.22,5559.73,9479.53
543,4322.45,5742.51,3675.79
544,7305.88,1669.08,702.28
545,6985.95,6576.77,3146.43
546,9962.05,7063.38,9366.66
547,7623.01,9261.25,714.69
548,4821.46,1517.01,8881.49
549,6585.5,9887.61,8725.89
550,2763.43,1641.92,3379.53
551,1160.71,7879.58,4474.54
552,1002.08,4428.26,3706.35
553,4750.08,3209.52,2481.1
554,7097.21,5857.96,7821.27
555,5764.51,8759.13,3940.57
556,8170.95,8093.7,87.77
557,6529.25,9619.76,7791.02
558,2564.25,7953.72,6662.89
559,733.22,8934.06,8802.18
560,748.5,1197.61,8537.54
561,312.44,1021.14,9690.29
562,651.31,9780.84,9287.43
563,8251.84,1327.12,1157.51
564,4244.74,4718.36,4924.44
565,2362.59,4454.21,2814.85
566,5404.38,9173.91,9166.22
567,7723.58,1900.0,9149.59
568,7849.09,3974.6,9989.93
569,4987.17,4973.07,3539.93
570,129.66,5947.02,4662.97
571,2548.52,4630.35,8325.46
572,6567.8,4330.85,7516.68
573,1677.97,8457.04,2910.33
574,886.31,4161.89,5681.27
575,1177.63,7248.53,6995.96
576,2319.38,7941.66,1850.73
577,4932.06,7549.13,8270.01
578,1771.87,9282.01,294.02
579,6892.64,892.75,3841.69
580,76.01,5704.94,4369.71
581,5739.14,5151.19,3989.81
582,4358.52,7964.2,4411.45
583,9770.3,1397.78,4826.57
584,3767.15,1285.31,5556.32
585,8799.34,7655.05,6260.58
586,1920.89,765.69,1027.51
587,9038.11,927.28,327.81
588,5793.62,2755.79,5690.72
589,6373.66,6529.16,8365.84
590,7317.19,2630.86,1658.51
591,5232.31,8114.83,1985.63
592,697.13,9948.22,2706.97
593,4559.11,2476.8,3219.12
594,8276.15,6412.98,9044.42
595,4793.5,2661.09,6368.88
596,3203.72,134.95,1021.92
597,7300.8,5832.44,7759.89
598,6480.33,7867.43,7940.29
599,7452.32,5851.18,6181.36
600,4648.13,1296.12,5346.68
601,4998.14,3146.84,2.66
602,8238.65,5953.04,2350.89
603,7814.43,344.66,7880.32
604,7760.66,8014.16,4147.36
605,6219.23,2097.93,672.86
606,3120.7,9497.84,3269.98
607,4502.04,273.85,7743.15
608,8072.45,5238.44,8469.73
609,6644.58,6193.17,7509.02
610,1060.67,1632.32,3484.93
611,2989.18,5445.89,1316.29
612,6233.47,2590.17,3477.12
613,3834.32,4814.96,8386.91
614,3111.16,4788.1,1038.96
615,6049.72,8297.49,2900.79
616,15.97,1486.13,462.22
617,2814.24,9783.87,3007.05
618,6413.51,8595.69,6118.39
619,6062.18,8592.83,7019.5
620,2836.28,415.17,6840.44
621,8068.05,3164.63,5693.63
622,8460.91,1905.34,5423.71
623,2437.24,4370.38,9654.18
624,6880.17,8476.12,4644.51
625,4983.8,3357.52,7281.9
626,2735.34,4032.06,4319.45
627,2339.37,515.05,6540.39
628,2827.25,1414.7,3401.62
629,4887.69,9444.07,9724.26
630,3483.75,9398.66,5035.56
631,932.04,7885.8,5593.13
632,2223.8,4191.2,6301.93
633,7317.29,8825.23,8443.82
634,9511.54,4816.32,6296.95
635,9845.22,6786.43,3335.83
636,9496.08,6906.12,8396.03
637,7213.3,7795.36,4511.54
638,7023.44,5375.6,6339.33
639,6761.18,216.44,4253.82
640,9103.21,2777.12,3750.07
641,5389.78,6408.56,3124.97
642,1055.49,1572.91,1664.04
643,2739.14,1211.32,8132.67
644,8784.58,6682.69,9764.21
645,7810.08,84.62,9581.89
646,3066.83,2872.62,6368.98
647,1913.43,6670.02,1777.91
648,2680.75,717.36,3448.56
649,5070.59,9625.19,2672.71
650,4341.1,6387.02,5636.88
651,356.74,1939.21,5849.77
652,6948.16,5989.27,9998.16
653,6032.62,6160.45,6315.5
654,915.82,8085.62,2789.79
655,5015.54,6116.47,4265.32
656,1063.34,1850.57,1445.73
657,3042.85,8.28,5148.88
658,892.67,7893.3,1134.75
659,8362.45,307.08,9094.92
660,7128.46,5695.84,2156.96
661,25.81,9665.16,4902.53
662,2477.37,1570.0,1227.92
663,7628.45,4942.1,6256.18
664,5478.05,2893.95,4783.48
665,9879.96,5774.72,422.12
666,7375.05,2197.31,1696.92
667,6105.16,5818.41,2505.3
668,2793.52,1265.64,1662.28
669,8875.76,7005.8,3594.34
670,8808.03,3232.84,7058.07
671,1986.48,6503.9,8795.29
672,9083.26,3718.78,4521.61
673,2519.21,7118.67,5260.59
674,8198.49,9295.61,1812.04
675,5104.77,793.9,5013.25
676,1271.51,24.06,7160.13
677,2254.53,1921.78,6911.66
678,5855.02,6488.8,7369.63
679,2643.53,9021.33,8475.26
680,4887.5,1432.41,5798.42
681,2543.1,7536.12,7014.63
682,2080.8,5905.18,1374.02
683,3024.67,5924.05,3101.52
684,8158.8,4046.39,9473.34
685,1669.88,8211.05,52.71
686,3099.75,4202.96,8687.35
687,6812.3,2532.96,2216.72
688,6909.75,6209.77,8968.04
689,6577.53,3604.5,4614.85
690,7582.94,938.55,553.66
691,8087.77,7838.81,2344.7
692,2513.03,8296.08,9721.38
693,1789.95,4297.89,2244.48
694,9664.47,1211.08,3114.79
695,4070.15,1075.6,8982.62
696,5654.6,5744.48,115.11
697,2202.93,5798.3,6250.18
698,9847.61,5342.31,6649.44
699,6287.65,6107.27,5223.15
700,7576.5,7428.07,534.62
701,9703.52,619.18,1931.4
702,1213.22,6058.64,4541.0
703,5564.98,6785.46,5018.7
704,7198.6,8616.84,2714.28
