id,status,event_id,frequency,amplitude,phase,current_offset,v_start,v_end,temperature,added_at,cell_id_id
1,duis ac nibh,vitae mattis nibh ligula,10694831.26,39.95,227.79,24.13,48.45,11.35,2132.42,2024-11-28T04:29:17Z,1
2,vitae nisi nam,auctor gravida sem,12168582.69,58.84,186.79,36.24,0.29,81.66,2820.69,2025-01-20T22:43:14Z,2
3,in lacus curabitur at ipsum,et ultrices posuere cubilia curae,24581962.13,7.08,199.98,63.37,46.94,6.46,2240.7,2024-04-07T01:34:27Z,3
4,velit eu est congue,condimentum id luctus nec molestie,14100474.78,6.0,115.42,43.47,16.82,78.93,2516.09,2024-04-16T21:11:07Z,4
5,pede justo lacinia eget tincidunt,donec odio justo sollicitudin,20788685.52,50.08,63.23,68.49,31.96,67.69,4027.62,2024-02-26T19:45:42Z,5
6,ultrices posuere cubilia curae nulla,aenean auctor gravida,47584325.71,20.35,6.14,19.07,47.53,83.75,4741.94,2024-12-18T17:42:32Z,6
7,a feugiat et,mauris viverra diam,53669907.86,72.04,315.12,94.95,51.94,10.49,3725.35,2024-03-01T16:20:01Z,7
8,aliquet ultrices erat tortor,nonummy maecenas tincidunt lacus,6089848.89,59.43,94.9,12.39,58.56,11.49,4620.01,2024-04-17T04:33:56Z,8
9,morbi vel lectus in quam,vivamus tortor duis mattis,71280483.66,59.73,232.12,6.45,35.48,55.98,5442.37,2025-01-24T02:33:31Z,9
10,a suscipit nulla elit,sit amet consectetuer,65516646.8,57.26,342.42,76.98,15.8,58.71,199.74,2024-06-12T02:42:43Z,10
11,hac habitasse platea dictumst etiam,tincidunt lacus at velit,57506168.45,2.57,83.51,7.37,28.24,66.9,5162.18,2024-03-31T13:51:48Z,11
12,cursus vestibulum proin eu,lectus pellentesque at nulla suspendisse,46060687.34,43.39,298.29,63.08,59.98,98.73,3912.56,2024-03-19T20:09:45Z,12
13,habitasse platea dictumst,magna ac consequat metus sapien,2751536.92,57.93,25.85,2.09,20.84,64.65,1373.77,2025-02-01T08:43:15Z,13
14,justo aliquam quis turpis,lectus suspendisse potenti in eleifend,66391398.35,86.57,101.81,2.5,93.42,94.98,873.75,2024-04-07T14:06:03Z,14
15,justo etiam pretium iaculis,magnis dis parturient montes nascetur,93701270.68,33.99,174.2,84.13,21.34,52.19,86.58,2024-11-09T22:09:05Z,15
16,scelerisque quam turpis adipiscing,in quis justo maecenas rhoncus,63244582.82,9.91,133.2,71.71,68.35,35.13,4860.58,2024-10-24T03:36:33Z,16
17,mi nulla ac,dictumst morbi vestibulum,57953626.37,28.87,149.74,17.75,40.95,71.75,1910.69,2024-11-21T13:09:40Z,17
18,lorem id ligula,leo odio condimentum id luctus,85226139.32,0.16,90.43,67.01,5.47,37.45,2622.8,2025-01-29T23:48:38Z,18
