id,critical_material,recycled_material,material
1,false,true,Calcium
2,false,true,Manganese
3,true,true,Electrolytes
4,true,true,Lead sulfate
5,false,false,Sodium-ion
6,true,false,Sodium
7,false,true,Sodium
8,true,false,Sodium
9,true,true,Lithium-ion
10,true,false,Nickel cobalt aluminum
11,false,true,Electrolytes
12,false,true,Sodium-ion
13,true,false,Graphite
14,false,true,Anode materials
15,true,true,Magnesium
16,true,false,Vanadium
17,false,false,Electrolyte salts
18,false,true,Graphene
19,false,true,Lead
20,true,true,Vanadium
21,true,false,Lead oxide
22,false,false,Tantalum
23,true,false,Sulfur
24,true,true,Nickel manganese cobalt
25,true,false,Separator materials
26,true,false,Bismuth
27,false,false,Lithium manganese oxide
28,true,false,Conductive additives
29,false,true,Electrolyte solvents
30,true,false,Tantalum
31,false,true,Potassium
32,false,false,Anode materials
33,true,true,Bismuth
34,true,true,Gold
35,false,false,Separator materials
36,false,true,Potassium
37,true,false,Sodium
38,true,true,Zinc
39,true,true,Zinc
40,false,false,Zinc
41,true,true,Zirconium
42,true,true,Phosphate
43,false,true,Nickel manganese cobalt
44,false,false,Tantalum
45,false,false,Electrolyte solvents
46,true,true,Gold
47,false,false,Sulfur
48,false,false,Manganese
49,false,true,Electrolyte salts
50,true,false,Cathode materials
51,true,false,Cathode materials
52,false,true,Conductive additives
53,false,false,Antimony
54,false,false,Lithium polymer
55,true,false,Potassium-ion
56,true,false,Cobalt
57,false,false,Gold
58,true,true,Cobalt
59,true,true,Lithium polymer
60,false,false,Barium
61,true,false,Separator materials
62,true,true,Lithium metal
63,true,false,Sulfur
64,false,true,Zinc
65,false,true,Graphene
66,true,true,Nickel hydroxide
67,false,true,Iron
68,true,false,Iron
69,true,true,Electrolytes
70,true,true,Tin
71,false,false,Tin
72,true,true,Silver
73,true,true,Carbon
74,false,false,Nickel
75,true,true,Electrolyte solvents
76,true,true,Antimony
77,true,false,Lithium cobalt oxide
78,false,true,Zinc
79,true,true,Zirconium
80,true,true,Gold
81,false,false,Lead sulfate
82,true,false,Lithium-ion
83,true,false,Copper
84,true,true,Phosphate
85,false,false,Lithium cobalt oxide
86,true,false,Separator materials
87,false,false,Separator materials
88,true,true,Lead
89,false,false,Calcium
90,true,false,Electrolyte salts
91,false,true,Bismuth
92,true,false,Nickel cobalt aluminum
93,false,true,Tin
94,false,false,Electrolytes
95,false,true,Silver
96,false,true,Lead sulfate
97,false,false,Separator materials
98,true,true,Graphite
99,true,true,Barium
100,true,true,Nickel
101,true,true,Potassium
102,true,true,Nickel manganese cobalt
103,false,true,Tin
104,false,false,Lead sulfate
105,true,false,Tantalum
106,false,true,Electrolytes
107,true,true,Sulfur
108,false,false,Electrolytes
109,false,true,Separator materials
110,false,true,Conductive additives
111,false,false,Antimony
112,true,true,Carbon nanotubes
113,true,false,Tin
114,true,false,Sodium
115,false,false,Conductive additives
116,false,true,Lithium cobalt oxide
117,false,false,Carbon nanotubes
118,false,false,Carbon
119,false,false,Zinc oxide
120,false,true,Silicon
121,false,true,Cadmium
122,true,false,Potassium-ion
123,true,true,Silver
124,false,false,Electrolyte salts
125,true,true,Silicon
126,true,true,Antimony
127,false,true,Sodium-ion
128,false,false,Barium
129,false,false,Lithium polymer
130,false,true,Nickel
131,true,true,Aluminum
132,true,true,Lithium-ion
133,true,true,Gold
134,false,true,Sodium
135,true,true,Sodium-ion
136,true,false,Lithium
137,true,true,Magnesium
138,false,true,Lithium metal
139,true,true,Electrolyte solvents
140,true,false,Cathode materials
141,false,false,Zinc sulfate
142,false,false,Barium
143,true,true,Graphene
144,true,false,Silver
145,false,true,Electrolyte solvents
146,true,false,Electrolytes
147,true,true,Anode materials
148,true,true,Lithium manganese oxide
149,false,true,Nickel hydroxide
150,true,false,Conductive additives
151,true,true,Separator materials
152,false,true,Copper
153,true,false,Lead sulfate
154,false,false,Electrolyte solvents
155,false,true,Separator materials
156,true,false,Iron
157,true,true,Phosphate
158,false,false,Lithium-ion
159,true,false,Iron
160,false,false,Carbon nanotubes
161,true,true,Cadmium
162,true,false,Lithium polymer
163,false,false,Lithium iron phosphate
164,false,false,Tantalum
165,true,false,Graphene
166,false,false,Nickel manganese cobalt
167,true,false,Carbon
168,false,true,Anode materials
169,false,true,Nickel hydroxide
170,false,false,Zirconium
171,false,false,Nickel cobalt aluminum
172,false,false,Zirconium
173,false,true,Anode materials
174,true,false,Sulfur
175,false,false,Potassium
176,false,false,Gold
177,false,false,Lithium cobalt oxide
178,false,true,Potassium
179,false,true,Lead sulfate
180,true,false,Carbon
181,false,false,Zirconium
182,false,false,Nickel hydroxide
183,false,true,Zinc oxide
184,true,true,Cadmium
185,false,true,Lithium metal
186,false,false,Carbon nanotubes
187,true,false,Electrolyte solvents
188,false,false,Graphite
189,true,true,Silicon
190,false,true,Carbon
191,false,true,Lithium-ion
192,false,true,Anode materials
193,true,true,Lead
194,false,true,Zinc oxide
195,true,false,Sodium-ion
196,true,false,Carbon nanotubes
197,false,true,Silver
198,true,true,Lithium metal
199,false,false,Antimony
200,true,true,Magnesium
201,true,false,Lead sulfate
202,true,false,Copper
203,true,true,Electrolytes
204,false,false,Antimony
205,true,false,Zinc sulfate
206,false,true,Conductive additives
207,false,false,Electrolyte salts
208,false,false,Carbon nanotubes
209,true,false,Anode materials
210,true,false,Zinc sulfate
211,false,false,Nickel manganese cobalt
212,true,false,Copper
213,true,true,Zinc
214,true,true,Rare earth metals
215,false,false,Silicon
216,false,false,Lithium iron phosphate
217,false,true,Lithium-ion
218,false,false,Antimony
219,true,false,Bismuth
220,true,true,Lithium cobalt oxide
221,false,false,Nickel hydroxide
222,true,true,Iron
223,false,true,Cathode materials
224,false,false,Carbon nanotubes
225,false,false,Sodium
226,false,true,Silicon
227,false,true,Lithium iron phosphate
228,true,false,Calcium
229,true,true,Gold
230,true,false,Sodium
231,false,true,Lithium cobalt oxide
232,false,true,Antimony
233,false,false,Lead sulfate
234,false,false,Zinc oxide
235,false,true,Electrolyte solvents
236,false,true,Lead oxide
237,true,false,Copper
238,false,false,Zinc sulfate
239,true,false,Nickel
240,false,true,Gold
241,true,false,Cathode materials
242,false,true,Graphene
243,false,true,Sodium
244,false,false,Carbon
245,true,true,Electrolytes
246,false,false,Manganese
247,false,true,Phosphate
248,true,false,Lithium iron phosphate
249,true,false,Gold
250,false,true,Lithium
251,true,false,Lithium iron phosphate
252,true,false,Cathode materials
253,false,false,Manganese
254,true,true,Separator materials
255,true,true,Potassium-ion
256,true,true,Cadmium
257,true,false,Lead oxide
258,true,true,Anode materials
259,false,false,Potassium
