id,voltage,temperature,current,sot,phase,soc,added_at,cell_id_id
1,912.06,13.89,64.94,9.99,83.85,10.66,11/2/2022 06:51:15,1
2,99.55,-11.28,81.85,11.81,243.97,41.72,8/26/2022 18:21:02,2
3,742.4,41.61,51.99,70.26,251.36,46.38,5/30/2022 07:50:51,3
4,448.4,8.22,23.64,93.11,206.29,46.2,9/7/2022 21:24:30,4
5,618.34,49.2,76.57,93.69,90.97,43.2,11/18/2022 21:03:35,5
6,118.82,27.46,57.45,27.8,197.13,47.1,1/7/2022 10:18:07,6
7,652.71,-30.41,95.12,74.96,209.97,46.76,1/19/2022 20:48:14,7
8,735.67,16.28,60.81,26.99,221.11,88.44,10/7/2022 17:53:48,8
9,940.89,9.35,27.68,27.73,348.84,57.64,2/25/2022 12:47:02,9
10,804.48,2.89,18.25,60.82,31.84,23.35,8/30/2022 01:11:51,10
11,163.89,-27.56,97.31,43.99,306.4,7.13,1/31/2022 15:33:37,11
12,815.43,36.39,98.34,10.52,147.86,85.13,4/4/2022 08:56:35,12
13,27.7,42.4,76.2,8.36,312.86,35.61,10/21/2022 06:58:15,13
14,417.62,37.71,36.86,3.22,232.36,27.25,3/28/2022 01:58:06,14
15,200.45,-40.06,21.02,85.41,17.89,5.78,12/21/2022 16:21:41,15
16,184.02,9.1,68.57,1.39,358.55,42.87,10/30/2022 18:06:15,16
17,960.16,-49.61,12.35,21.61,73.8,43.62,1/9/2022 13:24:35,17
18,18.64,-13.55,62.69,10.03,30.98,73.52,2/21/2022 10:57:32,18
19,610.5,37.74,28.41,47.16,292.22,2.11,6/28/2022 22:12:39,19
20,478.96,-17.8,87.65,88.8,20.47,6.13,1/19/2022 19:33:25,20
21,991.07,37.24,35.94,80.23,188.1,62.13,4/3/2022 01:09:55,21
22,106.78,42.27,36.77,34.62,182.98,7.22,3/13/2022 09:17:06,22
23,882.82,-31.27,66.79,76.39,230.19,22.91,7/16/2022 07:24:38,23
24,339.52,38.63,9.27,2.68,189.2,43.52,10/27/2022 18:36:29,24
25,797.54,9.07,68.68,25.42,169.66,19.78,2/6/2022 21:17:49,25
26,370.88,26.57,88.99,60.32,217.02,64.89,4/15/2022 11:42:06,26
27,720.38,3.41,87.82,39.28,175.2,96.38,12/17/2022 05:16:13,27
28,735.44,-38.11,5.95,93.42,239.97,53.93,5/16/2022 03:42:40,28
29,222.4,15.3,60.48,47.59,325.73,68.91,10/11/2022 12:13:14,29
30,748.33,16.59,94.92,0.43,29.58,64.46,11/25/2022 04:02:18,30
31,188.41,33.85,11.96,41.32,285.24,74.99,8/9/2022 01:47:47,31
32,74.48,-33.7,25.47,75.28,144.25,62.91,1/23/2022 08:29:55,32
33,707.73,-3.33,43.59,77.79,25.83,55.43,3/18/2022 01:59:40,33
34,804.28,-32.99,42.01,36.02,106.15,80.15,7/8/2022 21:16:28,34
35,283.76,10.33,13.33,84.94,67.0,61.3,5/2/2022 14:53:53,35
36,455.52,-13.94,43.85,45.15,108.53,76.23,6/24/2022 02:19:13,36
37,115.81,-28.28,78.53,82.1,198.33,96.82,3/14/2022 11:38:19,37
38,604.65,36.77,13.1,54.44,303.98,64.0,10/22/2022 23:02:51,38
39,695.05,43.84,58.29,9.59,179.11,88.67,9/23/2022 13:46:25,39
40,810.07,-21.56,83.22,54.3,183.82,36.88,6/6/2022 02:21:31,40
41,922.83,39.18,20.49,14.36,274.07,86.54,12/3/2022 22:27:51,41
42,786.96,11.74,65.5,22.53,131.84,73.66,2/12/2022 04:49:47,42
43,971.16,44.58,14.44,76.75,43.93,6.73,1/26/2022 12:59:05,43
44,388.28,-1.85,1.18,15.17,190.06,39.55,10/26/2022 14:03:23,44
45,420.33,8.44,12.04,16.18,31.94,63.24,1/15/2022 16:39:59,45
46,66.87,-47.93,80.56,79.75,264.78,63.5,9/25/2022 00:54:45,46
47,78.84,-30.87,19.99,73.72,145.44,33.14,9/19/2022 10:11:13,47
48,166.82,20.26,18.54,81.92,233.56,44.84,4/23/2022 13:13:02,48
49,243.45,16.31,66.95,4.46,344.35,20.16,9/26/2022 11:22:06,49
50,739.64,-30.46,39.2,82.22,342.35,36.83,12/27/2022 13:08:30,50
51,890.95,37.82,81.48,66.28,301.02,83.81,2/13/2022 07:13:50,51
52,676.71,-3.2,31.8,49.42,35.5,30.93,4/27/2022 01:56:07,52
53,396.52,47.91,52.57,90.53,289.04,12.77,11/22/2022 04:25:32,53
54,998.08,-20.43,4.27,57.83,111.52,71.63,1/2/2022 23:17:21,54
55,720.75,7.88,53.81,47.86,206.07,79.05,12/2/2022 21:52:27,55
56,20.19,9.9,98.02,82.3,311.74,11.81,11/11/2022 02:24:43,56
57,310.25,48.96,5.99,5.86,275.64,90.77,4/19/2022 01:19:27,57
58,555.57,-11.85,34.74,83.73,19.37,69.83,7/31/2022 22:36:10,58
59,865.7,-3.29,27.21,50.29,57.63,42.13,7/26/2022 04:53:49,59
60,854.46,42.52,33.0,53.48,91.63,1.79,7/21/2022 22:29:55,60
61,428.02,-44.73,48.49,96.6,196.25,81.22,1/24/2022 12:34:42,61
62,249.62,22.15,62.04,79.07,70.42,86.8,6/14/2022 05:17:45,62
63,360.58,20.72,4.33,87.05,244.28,97.55,2/4/2022 06:27:25,63
64,6.16,-30.63,33.11,45.79,250.54,58.96,11/24/2022 15:49:19,64
65,102.99,33.05,75.22,71.89,4.27,61.61,4/25/2022 12:53:29,65
66,4.25,12.4,72.71,60.87,136.21,85.04,2/1/2022 16:55:45,66
67,54.56,29.73,59.33,84.19,277.42,61.06,9/26/2022 23:01:51,67
68,928.64,-2.59,28.17,39.42,156.6,80.07,5/28/2022 01:56:46,68
69,434.21,38.46,82.44,79.48,345.43,87.96,1/19/2022 07:48:46,69
70,285.09,42.32,58.9,94.39,253.11,46.21,8/8/2022 10:58:46,70
71,117.43,16.88,29.67,85.91,25.38,51.62,11/17/2022 13:13:40,71
72,43.17,-23.46,22.76,79.71,184.7,57.79,6/10/2022 15:05:12,72
73,787.06,47.64,94.52,98.99,355.61,36.12,4/27/2022 09:28:28,73
74,761.69,-24.12,69.42,14.37,145.82,88.62,3/3/2022 03:12:49,74
75,662.85,29.56,79.25,40.54,163.9,33.59,9/19/2022 14:41:41,75
76,837.37,-13.3,66.16,77.11,310.79,36.47,3/13/2022 01:42:53,76
77,723.88,-2.12,27.45,21.29,348.09,79.42,5/19/2022 12:32:41,77
78,741.82,-42.14,33.79,19.93,262.34,16.35,5/12/2022 04:01:52,78
