id,power_module_name,battery_module_name,battery_module_energy,battery_usable_energy,max_output_power,peak_output_power,nominal_voltage,operating_voltage_range,communication,power_module_weight,battery_module_weight,operating_temperature,max_operating_altitude,noise_emission,cell_technology,created_at,updated_at,height,width,length,power_module_height,power_module_width,power_module_length,battery_id
1,Frants,Magee,9352390603632.76,7323967715532.51,3265995159420.72,9783739140886.14,17038,701,+1,151626.31,478016.16,442817.1,160525,136.3,in quis justo,2024-09-11T09:34:46Z,2024-09-11T05:36:48Z,1913.52,6892.21,4337.85,5321.17,7405.11,1891.06,1
2,Faustine,Macura,2263550157030.57,6320891866240.98,1664222508742.31,936854355586.85,17813,341,+2,719221.63,712277.43,95018.27,95612,280.53,consequat,2024-08-06T04:29:15Z,2024-05-04T07:40:50Z,3427.23,6911.04,5969.3,9528.78,1257.24,6735.27,2
3,Bari,Mucklo,6843047638610.44,6661284479821.84,9512126602815.99,8297235789722.43,11864,159,+3,671380.28,247207.73,861483.98,871101,468.67,praesent,2024-09-19T02:09:25Z,2024-07-25T23:36:43Z,2222.42,5080.81,282.31,958.04,1150.01,3246.82,3
4,Thaddeus,Vaughn,7463577813138.56,3115608748675.36,6258530375954.82,3695023131862.71,8389,66,+4,379181.2,908359.6,944236.29,32775,16.53,id,2024-09-28T03:59:42Z,2024-11-28T07:56:36Z,6610.14,1439.6,1723.2,4776.04,633.09,2435.34,4
5,Daisi,Pentin,4525581986162.36,1532386542179.36,3638529508174.71,8815894381514.27,14964,616,+5,894199.08,128299.96,121950.9,37641,570.66,bibendum felis,2024-12-12T04:19:28Z,2024-11-18T15:16:58Z,820.95,2050.99,5033.72,2611.96,5446.51,6175.44,5
6,Paton,Ivanitsa,630547262368.62,4985759981028.93,9105166360643.9,4086572256993.39,5660,40,+6,810093.55,102662.06,653830.08,587176,759.49,viverra pede,2024-08-12T16:45:55Z,2025-01-16T18:01:01Z,6493.34,5178.03,5174.03,3975.47,9676.17,8933.57,6
7,Jodie,Marchent,1561455664474.44,6269808091868.39,375741854970.0,301624152951.21,16376,397,+7,883021.03,668561.62,210199.11,960778,94.5,non velit,2024-02-24T22:30:29Z,2024-06-07T11:53:52Z,4345.87,6321.45,9265.83,2148.2,9297.58,301.04,7
8,Krissy,Alflatt,6895725990587.03,4530842979603.36,4239809249084.74,4445657177537.17,8209,642,+8,76930.27,678066.68,690631.46,483480,983.51,nulla justo aliquam,2024-09-01T09:24:47Z,2024-02-15T10:37:35Z,5275.64,3002.03,7148.37,2698.41,6322.74,9618.76,8
9,Jay,Gecke,8273530536781.86,6988997047005.3,5090168384748.04,2740292066902.23,6272,400,+9,94257.98,652011.23,449723.81,986255,910.06,purus eu,2024-12-06T07:23:42Z,2024-04-21T16:45:33Z,9028.57,9473.26,9813.35,5911.26,9261.32,4118.78,9
10,Hillel,Harrod,2236405036451.4,5198949404088.83,3296775802014.05,1004446741199.12,16173,903,+10,700708.93,249339.65,404439.86,131453,734.47,sapien,2024-09-19T22:24:10Z,2024-11-29T00:27:25Z,3359.56,5614.7,7201.82,720.57,6821.32,2926.2,10
